日期,预测值,预测下限,预测上限
2021-01-01,4527.903625392223,-8008.98941766441,16626.93601232369
2021-02-01,3705.579046756702,-8889.684240644743,14851.472769118287
2021-03-01,1054.1638617638782,-10366.05054269289,13802.280167231993
2021-04-01,405.18862519274035,-11125.569442354414,12058.187415782593
2021-05-01,60.42946513257279,-11618.22559794719,12602.711035736515
2021-06-01,-796.000083896503,-12549.819311132562,10494.434589786146
2021-07-01,-3534.4598489730056,-15668.87372956267,8844.586231745172
2021-08-01,-7406.354039637941,-19795.999477285117,5733.398165147198
2021-09-01,-9416.250021690967,-21067.67320385364,2536.5134620358535
2021-10-01,-8312.646980925578,-20095.862077722926,4342.678778421711
2021-11-01,-8734.028604228017,-21037.936489725947,4026.337539443677
2021-12-01,-7817.497749574644,-18642.15367250492,3849.5376606346854
