Month,MonthNum,Dengue_Cases,Dengue_Deaths,Mortality_Rate
January,1,84328,394,0.46722322360307367
February,2,77801,315,0.4048791146643359
March,3,57576,291,0.5054189245518966
April,4,32508,200,0.6152331733727082
May,5,32387,162,0.50020069781085
June,6,58110,322,0.5541214937188091
July,7,138242,611,0.44197855933797253
August,8,187554,714,0.3806903611759813
September,9,177943,6148,3.455038973154325
October,10,117645,6670,5.669599217986314
November,11,94900,613,0.6459430979978925
December,12,88431,404,0.456853365901098
