Region,Month,MonthNum,Dengue_Cases,Dengue_Deaths
Region IV-A,September,9,6512.0,23.4
Region VI,August,8,6129.6,21.2
Region III,September,9,4453.8,31.4
NCR,September,9,4273.8,311.8
Region VII,September,9,3173.0,109.6
Region X,August,8,2502.2,9.4
Region I,August,8,2336.2,5.0
Region VIII,August,8,2011.4,6.0
Region IX,July,7,1970.6,6.8
Region XII,July,7,1790.4,8.0
Region II,September,9,1435.8,5.6
CAR,July,7,1184.8,3.2
Region IV-B,August,8,1170.4,5.6
Region XIII,January,1,979.2,4.0
Region XI,July,7,953.0,6.6
Region V,September,9,809.6,6.2
BARMM,July,7,367.4,1.4
