,Dengue_Cases,Dengue_Cases,Dengue_Cases,Dengue_Cases,Dengue_Cases,Dengue_Cases,Dengue_Deaths,Dengue_Deaths,Dengue_Deaths,Dengue_Deaths,Dengue_Deaths,Dengue_Deaths
,mean,median,std,min,max,count,mean,median,std,min,max,sum
Region,,,,,,,,,,,,
Region IV-A,2717.15,2096.0,3485.7443424879057,77,21658,60,10.866666666666667,8.0,10.417499401742758,0,48,652
Region III,2184.4,1834.5,1761.876765155049,201,9713,60,8.033333333333333,5.0,15.650815397252313,0,121,482
Region VI,1958.7166666666667,783.0,3135.241504452717,115,18090,60,30.416666666666668,5.0,118.01483556074366,0,668,1825
NCR,1932.7666666666667,1276.0,1936.9568860795723,57,11033,60,66.8,7.5,267.1494090947255,0,1651,4008
Region VII,1844.7166666666667,1227.0,1451.2118967294334,207,5534,60,29.333333333333332,9.0,96.15201006504245,0,584,1760
Region X,1373.95,969.5,1149.8448152479286,221,4807,60,14.133333333333333,4.0,46.85298560270205,0,282,848
Region XII,996.7,824.5,762.1152610901062,76,3579,60,46.6,4.0,209.0703555249333,0,1270,2796
Region I,984.4333333333333,702.0,1005.1755115598212,46,4814,60,2.6166666666666667,2.0,2.957848890071495,0,13,157
Region VIII,866.3833333333333,426.5,1305.9761216140166,41,7557,60,9.75,3.0,35.201418018433216,0,236,585
Region IX,796.35,494.0,1125.5465388054592,51,7024,60,8.866666666666667,3.0,26.59773576871909,0,176,532
Region II,752.35,413.0,866.7677894612015,17,3698,60,3.216666666666667,2.0,4.445876652476939,0,18,193
Region XIII,588.2166666666667,410.0,508.4609910096656,10,2310,60,16.1,2.0,72.78193573608444,0,481,966
Region XI,542.0333333333333,457.0,448.43335452029845,51,2330,60,6.416666666666667,2.0,16.502995790355676,0,109,385
Region IV-B,514.15,376.0,474.0290281106479,69,2125,60,2.1666666666666665,1.5,3.1145729999072764,0,17,130
CAR,509.7,298.0,554.0773763501365,19,2769,60,16.8,1.0,81.00027202297909,0,548,1008
Region V,369.45,245.0,481.3537909208759,47,2846,60,3.0833333333333335,2.0,3.300188318543823,0,16,185
BARMM,192.28333333333333,136.0,190.27661324509273,13,811,60,5.533333333333333,2.0,19.126223604740467,0,109,332
